id, Domain   , Sub_Category, City  , Product_Name                 , Model_Type                        , Price                                                  , Key_Features                                                                                                                                       , Connectivity_Safety                                             , Target_Audience                                         , Photo_URLs                                      , Video_URL                                , Human_Style_Note                                         , Payment_Link                                                            , Payment_Guide_URL                              , Bonuses                    , Location_Link                              , Location_Desc
 1, Terminals, Product_Info, N/A   , "מסופון האשראי Nova 55 F"    , "Nova 55 F"                       , "2750 שקלים, לפני מע""מ"                               , "מסוף אשראי וקופה ניידת; מדפסת תרמית מובנית 58 מ""מ; מסך מגע 5.5 אינץ'; תומך בתשלומים ללא מגע; סליקה מאובטחת; סוללה עוצמתית"                       , "סליקה מאובטחת לפי תקן EMV; קישוריות סלולרית וגם Wi-Fi"         , "Businesses needing mobile payment solutions, retail"   ,                                                 ,                                          , "Tone: Professional, reliable, focus on technical specs.", "https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP", https://mabotmedia-9831.twil.io/how-to-pay.jpeg,                            ,                                            , 
 2, Terminals, Product_Info, N/A   , "NOVA MODU"                  , MODU                              , "1990 שקלים בלבד, לפני מע""מ"                          , "מסוף מודולרי; ניתן להוסיף מדפסת קבלות, סורק ברקודים, כיסוי מגן IP66; ניהול נוכחות עובדים ומועדון לקוחות"                                          , "מאובטח בתקן EMV; כל הנתונים מגובים בענן 24/7"                  , "Businesses needing a customizable, robust POS solution",                                                 ,                                          , "Tone: Efficient, highlight flexibility."                , "https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP",                                                ,                            ,                                            , 
 3,Terminals,Product_Info,  N/A,     "קופת אשראי חכמה Nova 156",  "Nova 156",                          "5900 שקלים, לפני מע""מ","קופה חכמה All-in-One; מסך מגע 15.6 אינץ' Full HD; כוללת מסוף Nova 55 ומגירת כסף; מדפסת טרמית 80 מ""מ מובנית; מצב Offline","תמיכה מלאה בתקן EMV; קישוריות: Wi-Fi, Ethernet, Bluetooth, USB","Retail, shops, cafes, restaurants",,,"Tone: High-end, business-oriented."
 5, Yachts   , FAQ         , N/A   , "תהליך סגירת עסקה"           , N/A                               , N/A                                                    , "שלב 1: איסוף פרטים; שלב 2: שליחת אישור (מקדמה 500 שקלים); שלב 3: תשלום באשראי; שלב 4: אישור סופי וקבלה דיגיטלית"                                   , N/A                                                             , "Bot, sales process management"                         ,  "https://mabotmedia-9831.twil.io/joy.jpg"                                               ,                                          , "Tone: Clear, structured, helpful."                      ,                                                                         ,                                                ,                            ,                                            , 
 6, Yachts   , FAQ         , N/A   , "עלויות והזמנה"              , N/A                               , "החל מ-500 שקלים"                                       , "מחיר משתנה לפי סוג יאכטה ועונה; הנחות על כפל שעות; הזמנה מראש (חודש בקיץ, שבוע בעונות מעבר)"                                                      , N/A                                                             , "General customers"                                     ,   "https://mabotmedia-9831.twil.io/joy.jpg"                                              ,                                          , "Tone: Informative, transparent."                        ,                                                                         ,                                                ,                            ,                                            , 
 7, Yachts   , FAQ         , N/A   , "אוכל ושתייה בהפלגה"         , N/A                               , "לפי תפריט"                                            , "אפשרות להזמנת תפריט בשרים; ניתן להביא כיבוד עצמי (מומלץ פירות); מים מינרלים חופשי; ניתן להביא אלכוהול"                                            , N/A                                                             , "Groups, diners"                                        ,  "https://mabotmedia-9831.twil.io/joy.jpg"                                               ,                                          , "Tone: Welcoming, tasty details."                        ,                                                                         ,                                                ,                            ,                                            , 
 8, Yachts   , FAQ         , N/A   , "ירידה למים ושחייה"          , N/A                               , N/A                                                    , "סולם ומקפצה לירידה למים; עגינה מול הגנים הבהאיים; מותנה באישור סקיפר ורק ליודעים לשחות"                                                           , "הרחצה על אחריות המתרחצים; תלוי תנאי ים"                        , Swimmers                                                , "https://mabotmedia-9831.twil.io/joy.jpg"                                                ,                                          , "Tone: Safety-first but encouraging."                    ,                                                                         ,                                                ,                            ,                                            , 
10, Yachts   , Product_Info, חיפה  , "ספינת קיפון (Kaifun) - חיפה", "ספינה עד 30 איש"                 ,  "שעה 1: 990 שקלים; 2 שעות: 1390 שקלים; 3 שעות: 1790 שקלים"  , "מיקום: מעגן הדייג שביט , ליד פארק קישון; קיבולת: עד 30 מפליגים; אפשרות למנגל על הסיפון; רחבת ריקודים והגברה עוצמתית"                              , N/A                                                             , "Large groups, companies"                               , "https://mabotmedia-9831.twil.io/kaifun.jpg"    ,                                          , "Tone: Energetic, party vibe!"                           , "https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP", https://mabotmedia-9831.twil.io/how-to-pay.jpeg, "מערכת הגברה, רחבת ריקודים", "https://waze.com/ul/hsvbfthjs9"           , "אנו נמצאים בפארק קישון, בחיפה. מעגן דייג שביט. רחוב הדייגים 3 חיפה."
11, Yachts   , Product_Info, חיפה  , "Ochen"  ,                     "יאכטה קטמרן מפוארת"          ,  "שעה 1: 990 שקלים; 2 שעות: 1390 שקלים; 3 שעות: 1790 שקלים"  , "מיקום: מעגן הדייג שביט , ליד פארק קישון; יאכטה יציבה ורחבה; רשת שיזוף קדמית; מתאימה למסיבות רווקות ואירועי VIP"                                   , N/A                                                             , "Parties, VIP"                                          , "https://mabotmedia-9831.twil.io/Katamaran.jpeg",                                          , "Tone: Luxurious, exclusive."                            , "https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP", https://mabotmedia-9831.twil.io/how-to-pay.jpeg, "רשת שיזוף, מוזיקה"        , "https://waze.com/ul/hsvbfthjs9"           , "אנו נמצאים בפארק קישון, בחיפה. מעגן דייג שביט. רחוב הדייגים 3 חיפה."
12, Yachts   , Product_Info, חיפה  , "ספינה קינג"         ,           "ספינה עד 39 איש"                 , "שעה 1: 1990 שקלים; 2 שעות: 3290 שקלים; 3 שעות: 4790 שקלים"    , "מיקום: מעגן הדייג שביט , ליד פארק קישון; קיבולת עד 55 איש; מתאימה לאירועים עסקיים גדולים וחתונות קטנות"                                           , N/A                                                             , "Corporate events, large parties"                       ,   "https://mabotmedia-9831.twil.io/joy.jpg"                                              ,                                          , "Tone: Professional, grand scale."                       , "https://secure.cardcom.solutions/EA/EA5/5a2HEfT6E6KH1aSdcinQ/PaymentSP", https://mabotmedia-9831.twil.io/how-to-pay.jpeg, ""                         , "https://waze.com/ul/hsvbfthjs9"           , "אנו נמצאים בפארק קישון, בחיפה. מעגן דייג שביט. רחוב הדייגים 3 חיפה."
